City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
186,Itarema,BR,-2.9248,-39.9167,84.45,60,60,14.83,broken clouds
187,Geraldton,AU,-28.7667,114.6,63.01,82,5,5.75,clear sky
188,Ayaviri,PE,-14.8864,-70.5889,64.78,28,79,2.53,broken clouds
189,Menongue,AO,-14.6585,17.691,65.84,74,26,1.81,scattered clouds
190,Nabire,ID,-3.3667,135.4833,75.36,89,100,3.69,overcast clouds
191,Salalah,OM,17.0151,54.0924,80.69,26,0,14.97,clear sky
192,Bengkulu,ID,-3.8004,102.2655,74.59,91,100,4.9,overcast clouds
193,Sao Filipe,CV,14.8961,-24.4956,76.87,71,100,8.03,overcast clouds
194,Fare,PF,-16.7,-151.0167,79.25,79,100,9.95,light rain
195,Port Alfred,ZA,-33.5906,26.891,67.17,91,100,8.03,light rain
196,Kiunga,PG,-6.1219,141.2906,72.66,99,100,1.21,overcast clouds
197,Haimen,CN,23.1935,116.6142,48.09,47,30,16.13,scattered clouds
198,Talaya,RU,61.3833,152.75,-15.07,98,100,5.61,overcast clouds
199,Marquard,ZA,-28.6645,27.4305,66.76,50,97,2.33,overcast clouds
200,Saint-Joseph,RE,-21.3667,55.6167,77.38,80,96,11.74,overcast clouds
201,Gilbues,BR,-9.8317,-45.3439,81.73,66,77,3.58,broken clouds
202,Namatanai,PG,-3.6667,152.4333,78.06,86,100,3.87,light rain
203,Juba,SS,4.8517,31.5825,82.2,47,98,2.44,overcast clouds
204,Dingle,PH,10.9995,122.6711,74.17,93,94,7.96,overcast clouds
205,Bela,IN,25.9333,81.9833,56.84,37,0,4.36,clear sky
206,Arona,ES,28.0996,-16.681,65.39,77,20,8.05,few clouds
207,Bogatoye,RU,53.0601,51.3325,26.19,85,98,8.08,overcast clouds
208,Saint-Georges,GD,12.0564,-61.7485,82.08,78,40,24.16,light intensity shower rain
209,Musoma,TZ,-1.5,33.8,70.86,73,100,2.19,overcast clouds
210,Oranjemund,NA,-28.55,16.4333,66.74,89,31,12.77,scattered clouds
211,Penzance,GB,50.1186,-5.5371,32.68,65,93,16.55,overcast clouds
212,Anadyr,RU,64.75,177.4833,25.3,86,75,31.32,light snow
213,Grindavik,IS,63.8424,-22.4338,30.67,86,100,29.93,light snow
214,Port Lincoln,AU,-34.7333,135.8667,61.39,87,100,15.03,overcast clouds
215,Port Hardy,CA,50.6996,-127.4199,39.38,93,75,3.44,light intensity shower rain
216,Acapulco,MX,16.8634,-99.8901,84.02,45,100,5.75,overcast clouds
217,Klaksvik,FO,62.2266,-6.589,31.12,64,100,25.26,overcast clouds
218,Mandan,US,46.8267,-100.8896,6.78,82,75,12.66,broken clouds
219,Arlit,NE,18.7369,7.3853,77.22,11,0,7.49,clear sky
220,Zhuhai,CN,22.2769,113.5678,55.11,47,0,31.07,clear sky
221,Ilulissat,GL,69.2167,-51.1,15.82,67,40,25.32,scattered clouds
222,Severo-Kurilsk,RU,50.6789,156.125,25.34,67,85,15.43,overcast clouds
223,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.99,83,60,1.68,light rain
224,Santiago Del Estero,AR,-27.7951,-64.2615,75.09,51,100,9.66,overcast clouds
225,Adrar,MR,20.5022,-10.0711,74.53,25,100,10.33,overcast clouds
